doc_id,region,continent,regional_year_of_invasion,publication_date,years_since_regional_entry,domain,
112,Cambodia,Asia,3,6/16/16,0,www.phnompenhpost.com,
113,Cambodia,Asia,3,8/2/19,0,www.phnompenhpost.com,
114,Cambodia,Asia,3,6/9/20,1,www.phnompenhpost.com,
115,Cameroon,Africa,1,8/28/17,0,www.voanews.com,
116,Cameroon,Africa,1,9/6/17,0,www.arabnews.com,
117,Cameroon,Africa,1,6/28/18,1,reliefweb.int,
118,Cameroon,Africa,1,12/5/22,5,www.businessincameroon.com,
119,Cameroon,Africa,1,8/29/17,0,reliefweb.int,
120,Chad,Africa,2,9/30/22,4,reliefweb.int,
121,China,Asia,3,5/28/20,1,chinadialogue.net,
122,China,Asia,3,6/17/19,0,www.nature.com,
123,China,Asia,3,11/16/22,3,phys.org,
124,China,Asia,3,5/26/19,0,archive.dhakatribune.com,
125,China,Asia,3,6/11/19,0,www.scmp.com,
126,China,Asia,3,5/16/19,0,www.upi.com,
127,China,Asia,3,9/17/19,0,www.scmp.com,
128,China,Asia,3,9/18/19,0,www.worldgrain.com,
129,China,Asia,3,6/5/19,0,www.tht.com,
130,China,Asia,3,8/21/20,1,www.reuters.com,
131,China,Asia,3,7/31/20,1,geneticliteracyproject.org,
132,China,Asia,3,3/6/20,1,news.cgtn.com,
133,China,Asia,3,8/21/20,1,www.heritage.org,
134,China,Asia,3,12/15/21,2,modernfarmer.com,
135,China,Asia,3,12/28/21,2,www.worldgrain.com,
136,China,Asia,3,1/7/22,3,news.globallandscapesforum.org,
137,China,Asia,3,8/27/22,3,www.nature.com,
138,China,Asia,3,6/9/22,3,www.nature.com,
139,China,Asia,3,8/18/22,3,phys.org,
140,China,Asia,3,10/7/22,3,www.globaltimes.cn,
141,China,Asia,3,11/2/22,3,www.globenewswire.com,
142,China,Asia,3,11/8/22,3,www.en.krishakjagat.org,
143,China,Asia,3,5/28/20,1,chinadialogue.net,
144,China,Asia,3,5/18/20,1,www.tht.com,
145,Democratic Republic of Congo,Africa,1,12/27/19,2,cd.usembassy.gov,
146,Democratic Republic of Congo,Africa,1,2/22/17,0,www.reuters.com,
147,Democratic Republic of Congo,Africa,1,12/27/19,2,cd.usembassy.gov,
148,Egypt,Africa,3,6/2/19,0,egyptindependent.com,
149,Egypt,Africa,3,6/20/22,3,krishijagran.com,
150,Egypt,Africa,3,4/12/19,0,egyptindependent.com,
151,Egypt,Africa,3,5/31/19,0,www.egypttoday.com,
152,Egypt,Africa,3,6/3/19,0,www.arabnews.com,
153,Egypt,Africa,3,9/5/21,2,egyptindependent.com,
154,Eswatini,Africa,1,7/4/22,5,reliefweb.int,
155,Ethiopia,Africa,1,10/26/18,1,reliefweb.int,
156,Ethiopia,Africa,1,6/17/22,5,allafrica.com,
157,Ethiopia,Africa,1,6/1/22,5,allafrica.com,
158,Ethiopia,Africa,1,5/30/17,0,reliefweb.int,
159,Ethiopia,Africa,1,6/14/17,0,reliefweb.int,
160,Ethiopia,Africa,1,6/24/17,0,allafrica.com,
161,Gambia,Africa,1,8/8/17,0,thepoint.gm,
162,Ghana,Africa,1,5/8/17,0,www.africanews.com,
163,Ghana,Africa,1,7/19/17,0,www.ghanaweb.com,
164,Ghana,Africa,1,5/23/17,0,www.graphic.com.gh,
165,Ghana,Africa,1,8/6/18,1,geneticliteracyproject.org,
166,Ghana,Africa,1,4/13/18,1,www.ghanaweb.com,
167,Ghana,Africa,1,8/2/18,1,www.gbcghana.com,
168,Ghana,Africa,1,1/29/20,3,www.graphic.com.gh,
169,Ghana,Africa,1,4/28/20,3,www.graphic.com.gh,
170,Ghana,Africa,1,5/31/21,4,www.modernghana.com,
171,Ghana,Africa,1,5/23/22,5,www.ghanaweb.com,
172,Ghana,Africa,1,8/23/22,5,www.myjoyonline.com,
173,Ghana,Africa,1,7/10/22,5,www.ghanaweb.com,
174,Ghana,Africa,1,11/9/22,5,www.myjoyonline.com,
175,India,Asia,2,6/29/21,3,indianexpress.com,
176,India,Asia,2,8/8/18,0,www.hindustantimes.com,
177,India,Asia,2,8/21/18,0,www.downtoearth.org.in,
178,India,Asia,2,8/27/18,0,theprint.in,
179,India,Asia,2,9/3/19,1,thewire.in,
180,India,Asia,2,9/5/18,0,theprint.in,
181,India,Asia,2,8/7/18,0,www.theguardian.com,
182,India,Asia,2,8/28/18,0,india.mongabay.com,
183,India,Asia,2,8/14/18,0,www.cnn.com,
184,India,Asia,2,8/12/18,0,www.thehindu.com,
185,India,Asia,2,8/21/18,0,www.downtoearth.org.in,
186,India,Asia,2,8/17/18,0,www.thehindu.com,
187,India,Asia,2,8/9/18,0,phys.org,
188,India,Asia,2,9/12/18,0,geneticliteracyproject.org,
189,India,Asia,2,8/16/18,0,www.telegraph.co.uk,
190,India,Asia,2,8/15/18,0,www.thehindubusinessline.com,
191,India,Asia,2,8/8/18,0,www.hindustantimes.com,
192,India,Asia,2,9/13/18,0,www.telegraph.co.uk,
193,India,Asia,2,9/21/18,0,www.thehindu.com,
194,India,Asia,2,8/28/18,0,india.mongabay.com,
195,India,Asia,2,9/12/18,0,www.thehindubusinessline.com,
196,India,Asia,2,10/3/18,0,indianexpress.com,
197,India,Asia,2,12/10/18,0,www.downtoearth.org.in,
198,India,Asia,2,3/4/19,1,www.downtoearth.org.in,
199,India,Asia,2,4/30/19,1,www.newsclick.in,
200,India,Asia,2,5/11/19,1,indianexpress.com,
201,India,Asia,2,3/22/19,1,www.downtoearth.org.in,
202,India,Asia,2,3/18/19,1,www.downtoearth.org.in,
203,India,Asia,2,4/29/19,1,www.eastmojo.com,
204,India,Asia,2,5/9/19,1,indianexpress.com,
205,India,Asia,2,4/27/19,1,www.deccanherald.com,
206,India,Asia,2,5/30/19,1,www.cnbctv18.com,
207,India,Asia,2,5/17/19,1,thewire.in,
208,India,Asia,2,5/8/19,1,www.thesangaiexpress.com,
209,India,Asia,2,5/22/19,1,www.indiatvnews.com,
210,India,Asia,2,5/7/19,1,www.hindustantimes.com,
211,India,Asia,2,5/6/19,1,easternmirrornagaland.com,
212,India,Asia,2,9/26/19,1,reliefweb.int,
213,India,Asia,2,11/6/19,1,www.downtoearth.org.in,
214,India,Asia,2,11/5/19,1,www.thehindubusinessline.com,
215,India,Asia,2,9/9/19,1,myrepublica.nagariknerk.com,
216,India,Asia,2,8/2/19,1,www.downtoearth.org.in,
217,India,Asia,2,10/21/19,1,myrepublica.nagariknerk.com,
218,India,Asia,2,9/10/19,1,www.downtoearth.org.in,
219,India,Asia,2,11/6/19,1,indianexpress.com,
220,India,Asia,2,7/2/19,1,krishijagran.com,
221,India,Asia,2,7/10/19,1,www.thehindubusinessline.com,
222,India,Asia,2,7/25/19,1,www.thehansindia.com,
223,India,Asia,2,7/11/19,1,krishijagran.com,
224,India,Asia,2,6/4/19,1,www.eastmojo.com,
225,India,Asia,2,9/23/19,1,indianexpress.com,
226,India,Asia,2,11/16/19,1,krishijagran.com,
227,India,Asia,2,10/6/19,1,www.newindianexpress.com,
228,India,Asia,2,8/31/19,1,www.downtoearth.org.in,
229,India,Asia,2,8/3/19,1,www.hindustantimes.com,
230,India,Asia,2,5/29/19,1,www.downtoearth.org.in,
231,India,Asia,2,6/29/20,2,www.hindustantimes.com,
232,India,Asia,2,8/23/20,2,www.businessworld.in,
233,India,Asia,2,5/30/20,2,english.khabarhub.com,
234,India,Asia,2,5/10/20,2,nenow.in,
235,India,Asia,2,9/3/20,2,www.indiatimes.com,
236,India,Asia,2,7/30/20,2,www.tribuneindia.com,
237,India,Asia,2,5/25/21,3,www.thesangaiexpress.com,
238,India,Asia,2,2/27/21,3,thehindu.com,
239,India,Asia,2,6/17/21,3,www.eastmojo.com,
240,India,Asia,2,7/18/21,3,www.thehindubusinessline.com,
241,India,Asia,2,5/13/21,3,morungexpress.com,
242,India,Asia,2,8/31/21,3,www.tribuneindia.com,
243,India,Asia,2,4/20/22,4,zeenews.india.com,
244,India,Asia,2,5/20/22,4,thelogicalindian.com,
245,India,Asia,2,3/30/22,4,www.newindianexpress.com,
246,India,Asia,2,2/18/22,4,www.newindianexpress.com,
247,India,Asia,2,8/24/22,4,www.thehindubusinessline.com,
248,India,Asia,2,7/28/22,4,www.tribuneindia.com,
249,India,Asia,2,8/3/22,4,news.mongabay.com,
250,India,Asia,2,8/8/22,4,india.mongabay.com,
251,India,Asia,2,7/22/22,4,www.outlookindia.com,
252,India,Asia,2,9/11/22,4,www.deccanherald.com,
253,India,Asia,2,9/30/22,4,www.thehindu.com,
254,India,Asia,2,9/3/22,4,indianexpress.com,
255,India,Asia,2,11/21/22,4,www.newindianexpress.com,
256,India,Asia,2,3/26/19,1,www.downtoearth.org.in,
257,India,Asia,2,8/24/18,0,scroll.in,
258,India,Asia,2,5/5/19,1,indianexpress.com,
259,India,Asia,2,1/25/20,2,indianexpress.com,
260,India,Asia,2,3/18/19,1,www.downtoearth.org.in,
261,India,Asia,2,5/27/19,1,www.cnbctv18.com,
262,India,Asia,2,2/28/19,1,www.downtoearth.org.in,
263,India,Asia,2,5/25/21,3,www.thesangaiexpress.com,
264,India,Asia,2,4/6/21,3,www.thehindu.com,
265,Indonesia,Asia,3,2/11/20,1,en.antaranews.com,
266,Indonesia,Asia,3,10/28/22,3,en.antaranews.com,
267,Indonesia,Asia,3,10/26/22,3,en.antaranews.com,
268,Indonesia,Asia,3,6/6/22,3,en.antaranews.com,
269,Indonesia,Asia,3,10/11/22,3,en.antaranews.com,
270,Indonesia,Asia,3,8/31/22,3,en.antaranews.com,
271,Israel,Asia,4,6/16/22,2,www.israel21c.org,
272,Japan,Asia,3,7/10/19,0,www.japantimes.co.jp,
273,Japan,Asia,3,8/15/20,1,www.japantimes.co.jp,
274,Japan,Asia,3,8/15/20,1,english.kyodws.net,
275,Kenya,Africa,1,7/8/19,2,theconversation.com,
276,Kenya,Africa,1,10/24/19,2,news.mongabay.com,
277,Kenya,Africa,1,7/10/19,2,scroll.in,
278,Kenya,Africa,1,5/3/18,1,phys.org,
279,Kenya,Africa,1,9/3/21,4,entomologytoday.org,
280,Kenya,Africa,1,12/9/22,5,scidev.net,
281,Kenya,Africa,1,6/16/22,5,phys.org,
282,Kenya,Africa,1,4/25/17,0,reliefweb.int,
283,Kenya,Africa,1,10/25/17,0,www.theguardian.com,
284,Kenya,Africa,1,5/16/17,0,www.voanews.com,
285,Kenya,Africa,1,4/7/17,0,allafrica.com,
286,Kenya,Africa,1,5/18/18,1,www.devex.com,
287,Kenya,Africa,1,12/27/20,3,www.businessdailyafrica.com,
288,Kenya,Africa,1,4/23/18,1,geneticliteracyproject.org,
289,Kenya,Africa,1,5/9/18,1,www.standardmedia.co.ke,
290,Kenya,Africa,1,3/26/19,2,www.downtoearth.org.in,
291,Kenya,Africa,1,9/3/20,3,www.theeastafrican.co.ke,
292,Kenya,Africa,1,10/13/18,1,www.standardmedia.co.ke,
293,Kenya,Africa,1,1/20/20,3,www.downtoearth.org.in,
294,Kenya,Africa,1,3/18/21,4,www.scidev.net,
295,Kenya,Africa,1,6/9/21,4,www.trrld.com,
296,Kenya,Africa,1,4/12/22,5,www.standardmedia.co.ke,
297,Kenya,Africa,1,1/27/22,5,allafrica.com,
298,Kenya,Africa,1,4/6/22,5,www.standardmedia.co.ke,
299,Kenya,Africa,1,4/29/22,5,www.standardmedia.co.ke,
300,Kenya,Africa,1,4/10/22,5,www.agribusinessglobal.com,
301,Kenya,Africa,1,6/21/22,5,www.kenyanews.go.ke,
302,Kenya,Africa,1,7/18/22,5,www.standardmedia.co.ke,
303,Kenya,Africa,1,5/30/22,5,www.standardmedia.co.ke,
304,Kenya,Africa,1,6/16/22,5,phys.org,
305,Kenya,Africa,1,6/8/22,5,www.standardmedia.co.ke,
306,Kenya,Africa,1,8/4/22,5,www.thestar.co.ke,
307,Kenya,Africa,1,10/3/22,5,phys.org,
308,Kenya,Africa,1,10/17/22,5,www.theguardian.com,
309,Kenya,Africa,1,10/4/22,5,www.cimmyt.org,
310,Kenya,Africa,1,10/13/22,5,www.standardmedia.co.ke,
311,Kenya,Africa,1,10/20/22,5,english.news.cn,
312,Kenya,Africa,1,11/8/22,5,www.kenyanews.go.ke,
313,Kenya,Africa,1,11/9/22,5,www.bbc.com,
314,Kenya,Africa,1,11/3/22,5,www.capitalfm.co.ke,
315,Kenya,Africa,1,3/11/19,2,www.downtoearth.org.in,
316,Kenya,Africa,1,10/25/17,0,www.theguardian.com,
317,Laos,Asia,3,8/2/19,0,www.phnompenhpost.com,
318,Liberia,Africa,2,6/24/20,2,frontpageafricaonline.com,
319,Liberia,Africa,2,7/14/20,2,frontpageafricaonline.com,
320,Madagascar,Africa,1,6/22/21,4,www.voanews.com,
321,Madagascar,Africa,1,8/18/22,5,reliefweb.int,
322,Madagascar,Africa,1,9/2/22,5,reliefweb.int,
323,Malawi,Africa,1,12/18/17,0,www.voanews.com,
324,Malawi,Africa,1,1/3/17,0,www.voanews.com,
325,Malawi,Africa,1,9/5/17,0,reliefweb.int,
326,Malawi,Africa,1,11/30/17,0,www.reuters.com,
327,Malawi,Africa,1,1/12/17,0,reliefweb.int,
328,Malawi,Africa,1,12/18/17,0,www.africanews.com,
329,Malawi,Africa,1,12/1/17,0,reliefweb.int,
330,Malawi,Africa,1,1/12/17,0,news.trust.org,
331,Malawi,Africa,1,2/26/18,1,www.reuters.com,
332,Malawi,Africa,1,2/12/18,1,reliefweb.int,
333,Malawi,Africa,1,3/23/18,1,www.reuters.com,
334,Malawi,Africa,1,3/29/18,1,reliefweb.int,
335,Malawi,Africa,1,2/10/18,1,news.un.org,
336,Malawi,Africa,1,1/10/20,3,www.voanews.com,
337,Malawi,Africa,1,6/1/20,3,geneticliteracyproject.org,
338,Malawi,Africa,1,5/27/20,3,allafrica.com,
339,Malawi,Africa,1,2/5/21,4,reliefweb.int,
340,Malawi,Africa,1,1/4/22,5,www.nyasatimes.com,
341,Malawi,Africa,1,1/4/22,5,malawi24.com,
342,Malawi,Africa,1,9/26/22,5,www.africanews.com,
343,Mozambique,Africa,1,2/6/17,0,zitamar.com,
344,Myanmar,Asia,1,1/14/19,2,reliefweb.int,
345,Myanmar,Asia,1,3/14/19,2,reliefweb.int,
346,Namibia,Africa,1,3/8/18,1,allafrica.com,
347,Namibia,Africa,1,2/7/18,1,allafrica.com,
348,Namibia,Africa,1,2/6/18,1,economist.com.na,
349,Namibia,Africa,1,2/6/18,1,allafrica.com,
350,Namibia,Africa,1,2/20/18,1,economist.com.na,
351,Namibia,Africa,1,3/8/18,1,www.namibian.com.na,
352,Namibia,Africa,1,2/26/19,2,reliefweb.int,
353,Namibia,Africa,1,10/1/18,1,reliefweb.int,
354,Namibia,Africa,1,1/24/20,3,neweralive.na,
355,Namibia,Africa,1,2/18/20,3,neweralive.na,
356,Nepal,Asia,3,5/5/22,3,www.nature.com,
357,Nepal,Asia,3,6/25/19,0,english.onlinekhabar.com,
358,Nepal,Asia,3,10/24/19,0,thehimalayantimes.com,
359,Nepal,Asia,3,5/26/20,1,thehimalayantimes.com,
360,Nepal,Asia,3,3/22/20,1,kathmandupost.com,
361,Nepal,Asia,3,6/28/20,1,kathmandupost.com,
362,Nepal,Asia,3,6/23/20,1,english.onlinekhabar.com,
363,Nepal,Asia,3,5/24/20,1,english.khabarhub.com,
364,Nepal,Asia,3,4/12/20,1,kathmandupost.com,
365,Nepal,Asia,3,5/25/20,1,thehimalayantimes.com,
366,Nepal,Asia,3,6/21/21,2,english.onlinekhabar.com,
367,Nepal,Asia,3,2/14/22,3,kathmandupost.com,
368,Nepal,Asia,3,9/4/22,3,myrepublica.nagariknerk.com,
369,Nepal,Asia,3,3/11/19,0,undark.org,
370,Nepal,Asia,3,8/9/22,3,entomologytoday.org,
371,New Zealand,Oceania,6,12/29/20,0,www.ruralnewsgroup.co.nz,
372,New Zealand,Oceania,6,4/28/22,0,sunlive.co.nz,
373,New Zealand,Oceania,6,4/19/22,0,www.rnz.co.nz,
374,New Zealand,Oceania,6,11/23/21,0,www.odt.co.nz,
375,New Zealand,Oceania,6,3/31/22,0,www.nzherald.co.nz,
376,New Zealand,Oceania,6,5/3/22,0,www.rnz.co.nz,
377,New Zealand,Oceania,6,5/3/22,0,www.en.krishakjagat.org,
378,New Zealand,Oceania,6,4/28/22,0,www.stuff.co.nz,
379,New Zealand,Oceania,6,3/9/22,0,www.sciencefocus.com,
380,New Zealand,Oceania,6,8/3/22,0,www.nzherald.co.nz,
381,New Zealand,Oceania,6,4/30/22,0,www.nzherald.co.nz,
382,New Zealand,Oceania,6,4/15/22,0,www.stuff.co.nz,
383,New Zealand,Oceania,6,10/10/22,0,www.en.krishakjagat.org,
384,New Zealand,Oceania,6,7/18/22,0,www.rnz.co.nz,
385,New Zealand,Oceania,6,5/31/22,0,cdn.fullscreen.nz,
386,New Zealand,Oceania,6,4/28/22,0,www.stuff.co.nz,
387,New Zealand,Oceania,6,8/3/22,0,www.nzherald.co.nz,
388,New Zealand,Oceania,6,10/10/22,0,www.freshplaza.com,
389,New Zealand,Oceania,6,11/23/21,0,www.odt.co.nz,
390,Nigeria,Africa,0,5/24/22,6,tribuneonlineng.com,
391,Nigeria,Africa,0,7/19/18,2,guardian.ng,
392,Nigeria,Africa,0,1/15/21,5,guardian.ng,
393,Nigeria,Africa,0,10/8/21,5,www.modernghana.com,
394,Nigeria,Africa,0,10/10/21,5,www.premiumtimesng.com,
395,Nigeria,Africa,0,5/24/22,6,tribuneonlineng.com,
396,Nigeria,Africa,0,6/22/22,6,businessday.ng,
397,Pakistan,Asia,3,10/3/20,1,www.brecorder.com,
398,Pakistan,Asia,3,11/16/22,3,yaleclimateconnections.org,
399,Papua New Guinea,Oceania,4,9/3/20,0,reliefweb.int,
400,Papua New Guinea,Oceania,4,5/26/20,0,reliefweb.int,
401,Philippines,Asia,3,10/2/19,0,www.panaynews.net,
402,Philippines,Asia,3,11/13/19,0,reliefweb.int,
403,Philippines,Asia,3,6/19/21,2,www.manilatimes.net,
404,Philippines,Asia,3,9/30/19,0,www.bworldonline.com,
405,Philippines,Asia,3,4/4/22,3,mb.com.ph,
406,Philippines,Asia,3,3/23/18,0,newsinfo.inquirer.net,
407,Philippines,Asia,3,11/13/19,0,reliefweb.int,
408,Philippines,Asia,3,10/2/19,0,www.panaynews.net,
409,Philippines,Asia,3,10/30/19,0,www.sunstar.com.ph,
410,Philippines,Asia,3,10/12/19,0,www.panaynews.net,
411,Philippines,Asia,3,6/15/19,0,www.pna.gov.ph,
412,Philippines,Asia,3,10/14/19,0,www.mindanews.com,
413,Philippines,Asia,3,11/7/19,0,www.pna.gov.ph,
414,Philippines,Asia,3,10/27/20,1,mb.com.ph,
415,Philippines,Asia,3,10/28/20,1,business.inquirer.net,
416,Philippines,Asia,3,7/13/20,1,www.philstar.com,
417,Philippines,Asia,3,8/28/20,1,www.pna.gov.ph,
418,Philippines,Asia,3,1/15/21,2,newsinfo.inquirer.net,
419,Philippines,Asia,3,9/19/20,1,www.panaynews.net,
420,Philippines,Asia,3,11/11/20,1,mindanaotimes.com.ph,
421,Philippines,Asia,3,3/12/20,1,pna.gov.ph,
422,Philippines,Asia,3,1/13/21,2,newsinfo.inquirer.net,
423,Philippines,Asia,3,7/6/21,2,mb.com.ph,
424,Philippines,Asia,3,6/29/21,2,www.bworldonline.com,
425,Philippines,Asia,3,4/12/21,2,www.bworldonline.com,
426,Philippines,Asia,3,6/19/21,2,www.manilatimes.net,
427,Philippines,Asia,3,6/17/21,2,newsinfo.inquirer.net,
428,Philippines,Asia,3,3/3/21,2,www.pna.gov.ph,
429,Philippines,Asia,3,8/25/21,2,mb.com.ph,
430,Philippines,Asia,3,9/29/22,3,newsinfo.inquirer.net,
431,Philippines,Asia,3,10/1/22,3,www.cnnphilippines.com,
432,Philippines,Asia,3,11/16/22,3,www.manilatimes.net,
433,Philippines,Asia,3,11/11/22,3,www.manilatimes.net,
434,Rwanda,Africa,1,4/20/17,0,www.newtimes.co.rw,
435,Rwanda,Africa,1,3/30/18,1,reliefweb.int,
436,Rwanda,Africa,1,2/17/19,2,www.downtoearth.org.in,
437,Rwanda,Africa,1,11/7/18,1,www.ktpress.rw,
438,Rwanda,Africa,1,10/22/19,2,www.newtimes.co.rw,
439,Rwanda,Africa,1,12/9/22,5,www.scidev.net,
440,South Africa,Africa,1,2/6/17,0,reliefweb.int,
441,South Africa,Africa,1,2/14/17,0,www.washingtonpost.com,
442,South Africa,Africa,1,5/12/17,0,www.voanews.com,
443,South Africa,Africa,1,12/12/17,0,www.herald.co.zw,
444,South Africa,Africa,1,1/26/17,0,www.timeslive.co.za,
445,South Africa,Africa,1,10/23/18,1,www.scidev.net,
446,South Africa,Africa,1,4/4/19,2,www.businessinsider.co.za,
447,South Africa,Africa,1,10/23/18,1,www.theguardian.com,
448,South Africa,Africa,1,4/29/20,3,geneticliteracyproject.org,
449,South Africa,Africa,1,8/4/22,5,www.farmersweekly.co.za,
